idx,lon_min,lat_min,lon_max,lat_max,file,note
51,80.02,6.995714,80.046667,7.022857,sri_lanka_floods_2025_20260628_200605_0051_80.020_6.996.png,valid=1.00
52,80.046667,6.995714,80.073333,7.022857,sri_lanka_floods_2025_20260628_200605_0052_80.047_6.996.png,valid=1.00
53,80.073333,6.995714,80.1,7.022857,sri_lanka_floods_2025_20260628_200605_0053_80.073_6.996.png,valid=1.00
54,79.86,7.022857,79.886667,7.05,sri_lanka_floods_2025_20260628_200605_0054_79.860_7.023.png,valid=1.00
55,79.886667,7.022857,79.913333,7.05,sri_lanka_floods_2025_20260628_200605_0055_79.887_7.023.png,valid=1.00
56,79.913333,7.022857,79.94,7.05,sri_lanka_floods_2025_20260628_200605_0056_79.913_7.023.png,valid=1.00
57,79.94,7.022857,79.966667,7.05,sri_lanka_floods_2025_20260628_200605_0057_79.940_7.023.png,valid=1.00
58,79.966667,7.022857,79.993333,7.05,sri_lanka_floods_2025_20260628_200605_0058_79.967_7.023.png,valid=1.00
59,79.993333,7.022857,80.02,7.05,sri_lanka_floods_2025_20260628_200605_0059_79.993_7.023.png,valid=1.00
60,80.02,7.022857,80.046667,7.05,sri_lanka_floods_2025_20260628_200605_0060_80.020_7.023.png,valid=1.00
61,80.046667,7.022857,80.073333,7.05,sri_lanka_floods_2025_20260628_200605_0061_80.047_7.023.png,valid=1.00
62,80.073333,7.022857,80.1,7.05,sri_lanka_floods_2025_20260628_200605_0062_80.073_7.023.png,valid=1.00
